Year,Champion,Runners-up,Third,Fourth,Number of qualified teams,Total goals scored,Numbers of matches played,Total attendance
1930,Uruguay,Argentina,Yugoslavia,USA,13,70,18,590549
1934,Italy,Czechoslovakia,Germany,Austria,16,70,17,363000
1938,Italy,Hungary,Brazil,Sweden,15,84,18,375700
1950,Uruguay,Brazil,Sweden,Spain,13,88,22,1045246
1954,Germany FR,Hungary,Austria,Uruguay,16,140,26,768607
1958,Brazil,Sweden,France,Germany FR,16,126,35,819810
1962,Brazil,Czechoslovakia,Chile,Yugoslavia,16,89,32,893172
1966,England,Germany FR,Portugal,Soviet Union,16,89,32,1563135
1970,Brazil,Italy,Germany FR,Uruguay,16,95,32,1603975
1974,Germany FR,Netherlands,Poland,Brazil,16,97,38,1865753
1978,Argentina,Netherlands,Brazil,Italy,17,102,38,1545791
1982,Italy,Germany FR,Poland,France,24,146,52,2109723
1986,Argentina,Germany FR,France,Belgium,24,132,52,2394031
1990,Germany FR,Argentina,Italy,England,24,115,52,2516215
1994,Brazil,Italy,Sweden,Bulgaria,24,141,52,3587538
1998,France,Brazil,Croatia,Netherlands,32,171,64,2785100
2002,Brazil,Germany,Turkey,Korea Republic,32,161,64,2705197
2006,Italy,France,Germany,Portugal,33,147,64,3359439
2010,Spain,Netherlands,Germany,Uruguay,32,145,64,3178856
2014,Germany,Argentina,Netherlands,Brazil,32,171,64,3443610
